X,Y,osm_id,landuse,sport,leisure,power,building,amenity,religion,denomination,name,access,surface,area,highway,natural,public_transport,railway,operator,ref,man_made,addr:housenumber,barrier,substation,hgv,bus,parking,station,wikidata,network,light_rail,voltage,location,leaf_cycle,leaf_type,material,height,building:colour,addr:city,roof:colour,roof:shape,roof:orientation,addr:street,short_name,addr:postcode,crop,emergency,industrial,produce,lit,frequency,fence_type,swimming_pool
-8.70485975500879,41.2984972973871,686325060,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70583584697378,41.2990255851946,409046712,,,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70642329766373,41.29941436287,409046711,,,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70523321831192,41.2995124847054,409052979,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70432394785541,41.299125994779,409052974,,,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70437366779548,41.2994554918043,409052980,,,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70481717282918,41.2996761955085,409048572,,,garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70417597039911,41.3003461499326,409052985,,,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70624817130638,41.3004486537318,557947226,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70490224519208,41.3015735580463,686325059,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70397787782279,41.3004721426901,686325065,,,,,no,,,,VC Fashion Outlet / Modivas,,,,,,station,station,,,,,,,,,,light_rail,Q48863046,Metro do Porto,yes,,,,,,,,,,,,,,,,,,,,,,
-8.70169915408783,41.3015823844051,436239762,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.7032778942917,41.3016964051606,350968855,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.7102180390357,41.3034639565591,434926488,farmland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.71196128118419,41.303697490595,350968914,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70815672688527,41.3034475468242,747916402,,,,substation,,,,,Subestação do Mindelo,,,,,,,,EDP,1316S5022100,,,,distribution,,,,,,,,"15000;60000",outdoor,,,,,,,,,,,,,,,,,,,,
-8.7066676898207,41.3049597774497,386578565,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70229063123203,41.3048281399466,409053938,,,garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70415827700156,41.3058024604975,350968864,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70429489194485,41.307571233842,350968813,,,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70407438937375,41.3082287690189,712991895,,,,,,parking,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70359591129286,41.3074630096644,350968820,,,,,,parking,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70134445900371,41.3080312916512,318481743,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.69822911070984,41.2806205333448,350968940,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.68992471579981,41.2783089293911,350968919,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.69839666435658,41.285784419308,350968872,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.69693747482816,41.2838872558262,434925524,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.69573938562728,41.2845557202032,434925523,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.69430885935965,41.2832220238437,434925522,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.69399931903591,41.2850498000432,133533418,,,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.69356534538253,41.2852294984191,686325086,,,,,no,,,,Modivas Sul,,,,,,station,station,,,,,,,,,,light_rail,Q10275989,Metro do Porto,yes,,,,,,,,,,,,,,,,,,,,,,
-8.68398587677373,41.2773640392221,350968907,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
